Time,OWD
1.167305,189.276
1.396125,125.568
1.801912,242.22
1.80683,245.906
1.806831,244.698
1.806831,243.48
1.806832,242.276
1.806902,241.129
2.146983,198.97
2.159561,206.19
2.166651,208.658
2.166651,189.628
2.166652,170.599
2.166652,151.569
2.166653,132.583
2.174627,121.484
2.198761,126.589
2.215032,123.83
2.231084,120.853
2.431207,120.256
2.447474,121.679
2.463156,130.514
2.470772,122.661
2.486804,123.267
2.502763,123.843
2.534773,140.378
2.550889,141.065
2.550889,125.634
2.566722,126.04
2.582928,126.818
2.598634,127.095
2.607067,120.141
2.622781,120.384
2.639672,121.848
2.655316,122.473
2.663033,121.065
2.711033,133.212
2.719031,124.415
2.742368,132.073
2.751218,134.919
2.751219,123.011
2.767082,126.967
2.774805,122.781
2.790943,127.01
2.799034,123.195
2.815147,127.401
2.822743,123.089
2.847567,136.293
2.847568,127.332
2.855099,123.112
2.879089,135.907
2.87909,124.766
2.88664,122.122
2.894729,120.062
2.910903,126.427
2.918681,124.394
2.927139,123.361
2.935565,122.462
2.943377,121.377
2.951123,120.229
2.966869,128.002
2.983177,142.113
2.983178,133.164
2.983179,125.515
2.983179,121.081
3.006785,138.565
3.006872,132.889
3.006872,127.129
3.006873,121.367
3.015185,123.919
3.022712,125.684
3.030809,128.063
3.03081,122.414
3.038917,125.933
3.046817,132.096
3.046818,126.478
3.054755,128.812
3.054756,123.313
3.063181,126.281
3.063182,120.865
3.071545,123.735
3.079444,126.309
3.086705,128.283
3.086706,122.914
3.094603,125.551
3.102756,128.981
3.102757,125.588
3.110873,128.554
3.118713,123.947
3.126919,129.51
3.134856,132.45
3.134856,127.453
3.134857,122.506
3.142724,125.422
3.1589,132.611
3.1589,130.127
3.166834,133.131
3.166834,128.796
3.17458,133.377
3.174581,128.644
3.182947,132.364
3.182948,127.678
3.183134,123.219
3.191006,126.444
3.191006,121.797
3.198628,124.891
3.206748,128.495
3.206749,124.075
3.21459,127.448
3.21459,123.661
3.222675,128.952
3.230991,132.959
3.230992,128.598
3.231043,124.348
3.231099,120.104
3.238605,123.315
3.255037,124.657
3.262881,131.907
3.262882,128.414
3.270585,132.43
3.279731,137.898
3.286864,132.995
3.29498,139.359
3.295092,136.023
3.302705,140.29
3.302706,136.969
3.302707,133.695
3.302707,130.416
3.310871,135.343
3.310872,132.155
3.310872,128.945
3.318834,133.747
3.318834,128.337
3.327213,135.17
3.327213,132.006
3.327214,128.936
3.327214,125.924
3.327215,119.982
3.334545,124.388
3.343308,130.225
3.351367,135.459
3.351367,132.645
3.358443,136.889
3.358443,135.044
3.358444,128.002
3.358444,125.24
3.367452,131.482
3.367453,128.838
3.367453,126.193
3.367454,123.547
3.367508,120.974
3.374827,125.672
3.383134,131.34
3.383135,128.523
3.39079,133.578
3.390791,131.083
3.399197,136.894
3.399197,134.403
3.399198,131.802
3.399198,129.35
3.399199,126.842
3.399223,124.356
3.39927,121.93
3.406504,126.691
3.406504,123.9
3.406505,121.535
3.431116,143.781
3.438601,148.898
3.438602,146.54
3.438602,144.173
3.438602,141.812
3.438603,139.448
3.438667,137.149
3.438667,134.785
3.438668,132.424
3.438668,129.814
3.44728,136.122
3.44728,133.818
3.447281,131.517
3.447281,129.262
3.455165,134.892
3.455165,132.638
3.455166,130.438
3.455166,128.238
3.455167,126.036
3.455192,123.86
